lat,long
41.80603,-87.61392
41.91555,-87.68008
41.85809,-87.70352
41.89754,-87.62185
41.96198,-87.73549
41.90227,-87.66346
42.01283,-87.70339
41.85376,-87.62191
41.93361,-87.64591
41.89037,-87.67298
41.87784,-87.69513
41.9416,-87.64498
41.94178,-87.63931
41.91863,-87.64987
42.00138,-87.6682
41.94455,-87.6631
41.95642,-87.72371
41.92345,-87.771
41.9557,-87.66668
41.84615,-87.71802
41.76358,-87.57244
41.8796,-87.67947
41.83251,-87.62095
42.0064,-87.65971
41.83228,-87.62096
41.90247,-87.6282
41.94,-87.66363
41.94916,-87.66059
41.9329,-87.70387
41.89329,-87.64912
41.94187,-87.64894
41.89629,-87.63135
41.89822,-87.62191
41.92115,-87.70464
41.94291,-87.65086
41.99462,-87.6649
41.96341,-87.70318
41.85613,-87.64737
41.85865,-87.64884
41.85671,-87.65477
41.87149,-87.66496
42.00026,-87.66682
41.95092,-87.6557
41.91783,-87.67588
41.90008,-87.66214
41.92435,-87.6679
41.92443,-87.66844
41.8937,-87.66757
41.84828,-87.63354
41.75976,-87.60437
42.01177,-87.66251
41.9393,-87.64343
41.97283,-87.68627
41.99449,-87.69215
41.9061,-87.68315
41.82811,-87.61808
41.94031,-87.75783
41.94474,-87.65909
41.96006,-87.71246
41.93279,-87.72877
41.89693,-87.68893
41.90894,-87.63437
41.9166,-87.7076
41.92197,-87.70092
41.92491,-87.6655
41.8564,-87.65342
41.78397,-87.59721
41.87899,-87.66397
41.90215,-87.67216
41.94043,-87.66974
41.93691,-87.63946
41.97943,-87.79768
41.82657,-87.61682
41.82452,-87.6402
41.95748,-87.69219
41.94201,-87.64787
41.83022,-87.67841
41.80495,-87.75284
41.85368,-87.67508
41.93509,-87.64579
41.90611,-87.66382
41.89745,-87.67613
41.97765,-87.67359
41.80646,-87.61794
41.90898,-87.67489
41.85732,-87.66926
41.94848,-87.65964
41.90989,-87.78467
41.9927,-87.67379
41.91676,-87.70682
41.9568,-87.6714
41.83181,-87.62082
41.90703,-87.68769
41.88286,-87.70385
41.91901,-87.6778
41.94617,-87.66983
41.91227,-87.66841
41.93749,-87.64644
41.90946,-87.62948
41.92471,-87.695
41.95495,-87.74052
41.88408,-87.7742
41.95491,-87.74035
41.91045,-87.62647
41.87155,-87.66421
41.91224,-87.70952
41.91056,-87.67772
41.94224,-87.68492
41.94945,-87.65917
41.92793,-87.70395
41.9517,-87.68284
41.94334,-87.64125
41.99251,-87.66341
41.85485,-87.67435
41.93845,-87.77145
41.93691,-87.77188
41.96252,-87.68148
41.94207,-87.66151
41.98977,-87.65706
41.85903,-87.61993
41.98317,-87.70461
41.99604,-87.80335
41.93618,-87.70949
41.87311,-87.6665
41.89648,-87.67656
41.9196,-87.72257
41.97369,-87.69321
41.81639,-87.59749
41.91205,-87.64913
41.94629,-87.68011
41.8589,-87.6258
41.9267,-87.70729
41.98255,-87.78899
41.88706,-87.62068
41.96546,-87.75425
41.95201,-87.67258
41.91034,-87.68199
41.89668,-87.63288
41.88695,-87.61789
41.89627,-87.63148
41.95008,-87.65829
41.93875,-87.74055
41.96977,-87.66799
41.92304,-87.6397
41.92243,-87.63822
41.851,-87.62411
41.92455,-87.71107
42.00451,-87.66203
41.93287,-87.72969
41.88587,-87.62827
41.88274,-87.70923
41.9305,-87.70735
41.88837,-87.6475
41.80392,-87.75172
41.9771,-87.65741
41.99969,-87.68108
41.89178,-87.66064
41.93692,-87.77144
41.85667,-87.64111
41.89834,-87.68823
41.91913,-87.7111
41.91533,-87.70303
41.88192,-87.68336
41.96696,-87.65213
41.85687,-87.6949
41.89587,-87.63267
41.9005,-87.67628
41.91361,-87.68531
41.85439,-87.69781
41.96889,-87.71237
41.80348,-87.60913
41.85232,-87.62297
41.9335,-87.65812
41.8995,-87.65756
41.93286,-87.65873
41.93303,-87.65829
41.89827,-87.62108
41.88194,-87.68877
41.88779,-87.61617
41.8909,-87.63157
41.95321,-87.65471
41.89632,-87.63993
41.89636,-87.63166
41.94839,-87.70666
41.88166,-87.68647
41.95333,-87.65545
41.88539,-87.61635
41.88924,-87.63032
41.78412,-87.60638
41.78301,-87.60742
41.78339,-87.60698
41.92497,-87.69589
41.93235,-87.72045
